Company,Valuation,DateJoined,Country,Industry,SelectedInvestors
Toutiao (Bytedance),$75 ,4/7/2017,China,Digital Media/ AI,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
Uber,$72 ,8/23/2013,USA,On-Demand,"Lowercase Capital,
	  Benchmark Capital, Google Ventures"
Didi Chuxing,$56 ,12/31/2014,China,On-Demand,"Matrix Partners, Tiger
	  Global Management, Softbank Corp.,"
WeWork,$47 ,2/3/2014,USA,Facilities,"T. Rowe Price, Benchmark
	  Capital, SoftBank Group"
JUUL Labs,$38 ,12/20/2017,USA,Consumer Electronics,Tiger Global Management
Airbnb,$29.30 ,7/26/2011,USA,eCommerce/Marketplace,"General Catalyst Partners,
	  Andreessen Horowitz, ENIAC Ventures"
Stripe,$22.50 ,1/23/2014,USA,Fintech,"Khosla Ventures, Lowercase
	  Capital, capitalG"
SpaceX,$18.50 ,12/1/2012,USA,Other Transportation,"Founders Fund, Draper
	  Fisher Jurvetson, Rothenberg Ventures"
Epic Games,$15 ,10/26/2018,USA,Gaming,"Tencent Holdings, KKR, Smash Ventures"
GrabTaxi,$14 ,12/4/2014,Singapore,On-Demand,"GGV Capital, Vertex Venture
	  Holdings, Softbank Group"
Bitmain Technologies,$12 ,7/6/2018,China,Blockchain,"Coatue Management, Sequoia Capital China, IDG Capital"
Samumed,$12 ,8/6/2018,USA,Biotechnology,"Vickers Venture Partners, IKEA GreenTech"
"Palantir
	  Technologies",$11 ,5/5/2011,USA,Big Data,"RRE Ventures, Founders
	  Fund, In-Q-Tel"
Global Switch,$11.08 ,12/22/2016,UK,Computer Hardware & Services,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Infor,$10 ,11/16/2016,USA,Internet Software & Services,"Blackstone Group, Koch Industries"
"DJI
	  Innovations",$10 ,5/6/2015,China,Hardware,"Accel Partners, Sequoia
	  Capital"
"One97
	  Communications (operates Paytm)",$10 ,5/12/2015,India,Fintech,"Intel Capital, Sapphire
	  Ventures, Alibaba Group"
Go-Jek,$10 ,8/4/2016,Indonesia,On-Demand,"Formation Group, Sequoia Capital India, Warburg Pincus"
Coupang,$9 ,5/28/2014,South Korea,eCommerce/Marketplace,"Sequoia Capital, Founder
	  Collective, Wellington Management"
Guazi (Chehaoduo),$9 ,3/12/2016,China,eCommerce/Marketplace,"Sequoia Capital China, GX Capital"
Coinbase,$8 ,8/10/2017,USA,Fintech,"Y Combinator, Union Square Ventures, DFJ Growth"
Instacart,$7.60 ,12/30/2014,USA,On-Demand,"Khosla Ventures, Kleiner
	  Perkins Caufield & Byers, Collaborative Fund"
"Slack
	  Technologies",$7.10 ,10/31/2014,USA,Internet Software & Services,"Google Ventures, Institutional Venture Partners, Index Ventures"
Snapdeal,$7 ,5/21/2014,India,e-commerce,"SoftBankGroup, Blackrock, Alibaba Group"
Roivant Sciences,$7 ,11/13/2018,Switzerland,Biotechnology,"SoftBankGroup, Founders Fund"
Tokopedia,$7 ,12/12/2018,Indonesia,Marketplace,"SoftBankGroup, Alibaba Group, Sequoia Capital India"
UiPath,$7 ,3/2/2018,USA,Robotic Process Automation,"Accel, capitalG, Earlybrid Venture Capital, Seedcamp"
Tanium,$6.70 ,3/31/2015,USA,Cybersecurity,"Andreessen Horowitz,
	  Nor-Cal Invest, TPG Growth"
"Magic
	  Leap",$6.30 ,10/21/2014,USA,VR/AR,"Obvious Ventures, Qualcomm
	  Ventures, Andreessen Horowitz"
Manbang Group,$6 ,4/24/2018,China,Supply chain & Logistics,"Softbank Group, CapitalG"
EasyHome,$5.70 ,2/12/2018,China,Retail,"Alibaba Group, Boyu Capital, Borui Capital"
Vice Media,$5.70 ,8/17/2013,USA,Media,"Technology Crossover Ventures, A&E Television Networks"
Robinhood,$5.60 ,4/26/2017,USA,Fintech,"Google Ventures, Andreessen Horowitz, DST Global"
"Intarcia
	  Therapeutics",$5.50 ,4/1/2014,USA,Healthcare,"New Enterprise Associates,
	  New Leaf Venture Partners, Charter Venture Capital"
Outcome Health,$5 ,5/31/2017,USA,Healthcare,"Goldman Sachs, capitalG, Pritzker Group Venture Capital"
UBTECH Robotics,$5 ,7/26/2016,China,Robotics,"CDH Investments, Goldstone Investments, Qiming Venture Partners"
Oyo Rooms,$4.30 ,9/25/2018,India,Travel Tech,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
Bluehole,$5 ,8/9/2018,South Korea,Travel Tech,"Tencent Holdings, Stonebridge Capital, IMM Investment"
Machine Zone,$5 ,7/16/2014,USA,Gaming,"J.P. Morgan Chase & Co., Menlo Ventures"
BYJU'S,$5 ,7/25/2017,India,Ed Tech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
Hellobike,$5 ,6/1/2018,China,Travel,"Ant Financial Services Group, GGV Capital"
Fanatics,$4.50 ,6/6/2012,USA,eCommerce/Marketplace,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
SenseTime,$4.50 ,7/11/2017,China,Computer Vision/ AI,"Star VC, IDG Capital, Infore Capital, Alibaba Group"
Social Finance (SoFi),$4.50 ,2/3/2015,USA,Fintech,"Baseline Ventures, DCM Ventures, Institutional Venture Partners"
Compass,$4.40 ,8/31/2016,USA,Real Estate,"Founders Fund, Thrive Capital, Wellington Management"
Olacabs,$4.30 ,10/27/2014,India,On-demand,"Accel Partners, SoftBank Group, Sequoia Capital"
Peloton Interactive,$4.20 ,5/24/2017,USA,Fitness,"True Ventures, Tiger Global Management, L Catterton"
"Yello
	  Mobile",$4 ,11/11/2014,South Korea,Mobile Software & Services,Formation 8
Houzz,$4 ,9/30/2014,USA,eCommerce/Marketplace,"New Enterprise Associates,
	  Sequoia Capital, Comcast Ventures"
DoorDash,$7.10 ,3/1/2018,USA,Food Delivery,"Softbank Group, Sequoia Capital, Khosla Ventures"
Nubank,$4 ,3/1/2018,Brazil,Fintech,"Sequoia Capital, Redpoint e.ventures, Kaszek Ventures"
XPeng Motors,$3.65 ,8/2/2018,China,Automobile,"Morningside Venture Capital, Foxconn Technology Company, Alibaba Group"
Samsara,$3.60 ,3/22/2018,USA,Internet of Things,"Andreessen Horowitz, General Catalyst"
Auto1 Group,$3.54 ,8/3/2015,Germany,eCommerce/Marketplace,"Digital Sky Technologies, Piton Capital, DN Capital, SoftBank Group"
Otto Bock HealthCare,$3.50 ,6/24/2017,Germany,Healthcare,EQT Partners
"Credit
	  Karma",$3.50 ,9/29/2014,USA,Fintech,"Felicis Ventures, SV Angel,
	  Founders Fund"
Snowflake Computing,$3.95 ,1/25/2018,USA,Internet Software & Services,"Redpoint Ventures,Iconiq Capital, Madrona Venture Group"
Indigo Agriculture,$3.50 ,9/26/2017,USA,Biotech,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
Youxia Motors,$3.35 ,4/2/2018,China,Automobile,"China Environmental Protection Industry, China Fortune Ocean"
Cloudwalk,$3.32 ,10/8/2018,China,AI,"Oriza Holdings, Guangdong Technology Financial Group"
Rubrik,$3.30 ,4/28/2017,USA,Internet Software & Services,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures"
The Hut Group,$3.25 ,8/13/2017,UK,eCommerce,"KKR, Old Mutual Global Investors, Artemis Investment Management"
"Oscar
	  Health Insurance Co.",$3.20 ,4/20/2015,USA,Healthcare,"BoxGroup, Formation8,
	  Khosla Ventures"
Zoox,$3.20 ,5/27/2016,USA,Auto Tech,"AID Partners, Draper Fisher Jurvetson"
SmileDirectClub,$3.20 ,10/10/2018,USA,Health & Wellnes,"Clayton Dubilier & Rice, Kleiner Perkins Caufield & Byers, Spark Capital"
Flexport,$3.20 ,4/30/2018,USA,Internet Software & Services,"Bloomberg Beta, Founders Fund, First Round Capital"
Ziroom,$3.10 ,1/17/2018,China,Real Estate Tech,"Sequoia Capital China, Warburg Pincus, General Catalyst"
